Sexo;EstadoCivil;FechaNacimiento;Instruccion;CodigoBarrio;NumeroCargas;TipoActividad;NumeroCredito;Monto;NumeroCuotas;ValorCuota;FechaEntrega;Tasa;Calificacion;encaje;tipo;vivienda;totalActivo;totalPasivo;Ingresos;Gastos;MoraCredito
Femenino;Soltero;4/12/1977;S;18010201;2;Independiente;7782;1200;14;96,84;5/8/2021;19.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;61000;7584,01;1680;1384,29;0
Femenino;Unión Libre;11/12/1981;P;18096504;0;Independiente;8494;16000;60;421,52;8/4/2022;19.18;Microcrédito;160;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;30300;9472,41;792;564,15;0
Masculino;Casado;4/2/1981;P;18096403;0;Independiente;2718;5000;25;200;4/3/2016;20.50;Microcrédito;237,5;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;0;0;1000;600;0
Masculino;Casado;21/9/1971;S;18096302;0;Independiente;2235;1000;12;83,33;5/6/2015;22.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;32500;762,09;3425,71;1805,33;0
Femenino;Casado;1/3/1984;S;18095001;0;Empleado Privado;1483;2200;24;91,67;20/5/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;62000;3000;270;315;0
Femenino;Soltero;30/9/1980;U;14015001;1;--Seleccione Tipo Empleo--;1764;500;1;500;1/10/2014;22.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;21/4/1965;P;18015801;0;--Seleccione Tipo Empleo--;2526;3000;24;125;16/10/2015;20.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Soltero;20/10/1984;P;18096206;2;--Seleccione Tipo Empleo--;4115;500;5;100;23/11/2017;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;18/12/1985;P;18096208;2;Independiente;6350;3000;24;155,71;15/5/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;42700;27500;1700;1095;0
Masculino;Casado;23/4/1968;P;18096706;2;--Seleccione Tipo Empleo--;373;705;6;117,5;27/12/2011;22.44;Consumo;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;14/12/1981;S;18016005;0;Independiente;7274;3000;24;153,13;2/3/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;104500;1;3300;454,42;0
Masculino;Soltero;19/11/1994;S;18096206;0;Empleado Privado;3267;900;12;75;31/10/2016;24.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;7000;4119,45;1480;649,6;0
Masculino;Soltero;12/4/1948;P;18010403;0;--Seleccione Tipo Empleo--;4197;500;8;62,5;28/12/2017;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Soltero;29/8/1949;P;18095001;0;Independiente;73;1111,11;8;138,89;20/4/2011;22.08;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;360000;500;1850;840;0
Femenino;Casado;14/9/1983;P;18096804;1;--Seleccione Tipo Empleo--;4716;15000;60;403,75;3/8/2018;20.50;Microcrédito;267,5;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Viudo;23/6/1968;P;18095008;0;Independiente;387;1000;10;100;27/1/2012;22.44;Microcrédito;70;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;111000;13872,03;3440;1810,36;0
Masculino;Soltero;25/10/1991;S;18096606;1;Empleado Privado;6800;5759,73;42;209,96;29/9/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;6000;0;540;262,6;1
Femenino;Casado;11/2/1963;P;18096108;0;Independiente;878;1500;20;75;13/3/2013;23.00;Microcrédito;43,75;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;44500;2844,55;1444;857,91;0
Masculino;Casado;4/8/1960;P;18097008;0;Independiente;7245;1000;1;1019,09;19/2/2021;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;51500;9799,59;2817,5;1559,48;0
Femenino;Soltero;2/3/1965;U;18015806;2;Independiente;1690;1000;12;83,33;3/9/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;104500;0;0;220;1
Femenino;Soltero;2/5/1989;S;18096605;2;Independiente;2842;4875;26;187,5;28/4/2016;20.05;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;12000;25000;1200;1185;0
Femenino;Casado;29/12/1996;S;18096108;0;Empleado Privado;2507;500;8;62,5;8/10/2015;21.00;Microcrédito;0;Ordinario Cuota Fija;ARRENDADA;14200;1;1100;285;0
Masculino;Soltero;24/8/2000;P;18096803;0;--Seleccione Tipo Empleo--;5467;500;8;62,5;27/5/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;4/6/1966;P;18096801;2;Independiente;4762;2000;24;83,33;27/8/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;149500;20539,1;3000;1569,13;1
Femenino;Viudo;18/9/1950;P;18096802;0;--Seleccione Tipo Empleo--;1609;1000;12;83,33;22/7/2014;22.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Soltero;3/1/1960;P;18096702;0;--Seleccione Tipo Empleo--;3524;2000;24;83,33;20/2/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Divorciado;20/5/1962;P;18096310;0;Independiente;7741;1000;12;92,74;13/7/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;56200;536,88;616;248,87;0
Femenino;Divorciado;31/10/1987;P;18096603;2;Independiente;6061;6000;36;166,67;9/12/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;32000;7651,5;1332;776,33;0
Femenino;Soltero;17/9/1986;P;18096801;0;--Seleccione Tipo Empleo--;461;373;12;31,08;9/4/2012;22.44;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;29/10/1980;P;18015506;0;--Seleccione Tipo Empleo--;5174;1000;12;83,33;24/2/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;5/10/1984;T;18096706;2;Independiente;7465;5000;30;209,42;16/4/2021;17.65;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;51600;10435,2;1668;1270,83;0
Femenino;Divorciado;24/4/1976;P;18096804;0;Independiente;8419;3500;24;173,41;27/3/2022;19.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;31000;17303,38;1878;1427,05;1
Femenino;Casado;2/7/1983;P;18096304;2;--Seleccione Tipo Empleo--;7152;4100;23;220,19;21/1/2021;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;1/10/1992;S;18096804;0;--Seleccione Tipo Empleo--;4853;1500;20;98,71;2/10/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;12/3/1990;S;18096401;0;Independiente;8964;1000;12;92,9;25/8/2022;19.97;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;29150;12561,75;1204;1056,94;0
Femenino;Casado;12/6/1967;P;18015503;0;Independiente;4494;5000;30;166,67;11/5/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;38500;1;924;590,99;1
Masculino;Soltero;17/2/1984;U;18096705;1;--Seleccione Tipo Empleo--;3165;1200;5;240;14/9/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;4/10/1966;P;18096302;0;--Seleccione Tipo Empleo--;103;150;3;50;22/4/2011;22.08;Consumo;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;27500;687,35;540;342;0
Femenino;Soltero;17/8/1980;P;18096707;0;Independiente;9445;600;8;80,29;12/1/2023;18.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;15000;0;451;319,8;0
Femenino;Viudo;23/6/1968;P;18095008;0;Independiente;6474;2000;24;90,34;1/7/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;111000;13872,03;3440;1810,36;1
Masculino;Casado;10/1/1971;P;18016513;3;--Seleccione Tipo Empleo--;697;500;8;62,5;13/11/2012;23.00;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;4/6/1979;P;18096706;2;Independiente;2547;2600;24;108,33;25/10/2015;20.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;32800;26946,18;2370;1479,4;1
Masculino;Casado;1/7/1991;P;18096310;0;Independiente;4339;4000;12;333,33;5/3/2018;21.50;Microcrédito;94;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;27560;0,01;6624;5756,16;0
Femenino;Divorciado;4/6/1971;S;18010314;0;--Seleccione Tipo Empleo--;4404;3000;26;125;3/4/2018;21.50;Microcrédito;68;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;24/10/1977;P;18010803;0;Independiente;4605;3000;24;125;21/6/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;4;4;10;4;0
Femenino;Casado;9/10/1958;P;18096504;0;Independiente;3321;1000;12;83,33;25/11/2016;24.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;40300;13094,74;1696,67;1383,77;0
Femenino;Soltero;26/7/1984;P;18015506;1;Independiente;6795;6005;36;245,92;27/9/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;8000;0;1275;428,6;0
Femenino;Casado;6/9/1988;P;18097002;2;--Seleccione Tipo Empleo--;3656;5000;12;416,67;13/4/2017;21.00;Microcrédito;150;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Soltero;18/2/1981;P;18096501;0;--Seleccione Tipo Empleo--;1453;2000;10;200;4/5/2014;22.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;30/12/1995;S;18015504;0;--Seleccione Tipo Empleo--;1967;500;10;50;9/1/2015;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Casado;1/7/1967;P;18016005;0;--Seleccione Tipo Empleo--;3888;2000;12;166,67;28/7/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;10/1/1949;S;18096308;0;Empleado Privado;940;3500;24;145,83;2/5/2013;22.44;Microcrédito;112,75;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;32900;1;785,4;353,08;1
Femenino;Casado;5/5/1984;S;18096804;0;Independiente;3076;1500;18;83,33;27/7/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;65500;0;790;249,34;0
Femenino;Casado;9/1/1969;P;18097005;0;Independiente;7696;3000;24;153,2;1/7/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;36400;2013,74;2028;1091,69;0
Masculino;Casado;18/1/1980;P;18096604;0;Independiente;984;3000;12;250;6/6/2013;20.60;Microcrédito;97,5;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;24500;0;1560;287;0
Masculino;Soltero;8/9/1986;S;18096103;0;Empleado Privado;9069;2000;12;185,63;21/9/2022;19.97;Microcrédito;0;Ordinario Cuota Fija;ARRENDADA;12500;0,01;424;190,4;0
Masculino;Soltero;25/10/1991;S;18096606;1;Empleado Privado;2324;1000;12;83,33;5/7/2015;22.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;6000;0;540;262,6;1
Femenino;Soltero;21/6/1989;S;18096403;0;Empleado Privado;6119;600;14;58,03;5/1/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;5500;1410,68;1155;527;0
Masculino;Casado;21/12/1983;S;18096302;2;--Seleccione Tipo Empleo--;5431;10000;36;277,78;16/5/2019;20.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;6/8/1965;P;18095002;0;Independiente;6847;3000;18;195,2;8/10/2020;18.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;32500;85;595;363,53;1
Femenino;Casado;10/5/1997;P;18045021;2;Independiente;8390;18000;75;449,38;18/3/2022;19.75;Microcrédito;180;Ordinario Cuota Fija;VIVE CON FAMILIARES;8000;624,94;1329;585;1
Femenino;Casado;4/10/1984;P;18096302;0;Independiente;6703;600;12;56,2;4/9/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;18800;1;726;357,2;0
Masculino;Soltero;10/12/1992;S;18096503;0;Independiente;2828;1000;12;83,33;27/4/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;9/10/1958;P;18096504;0;Independiente;3702;1500;18;83,33;9/5/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;40300;13094,74;1696,67;1383,77;0
Femenino;Divorciado;8/8/1952;P;18096804;0;Independiente;30;1000;10;100;11/4/2011;20.04;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;57444,35;1;700;70;0
Masculino;Soltero;14/12/1998;P;18096904;0;--Seleccione Tipo Empleo--;4788;500;8;62,5;5/9/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Unión Libre;3/4/1977;S;18096804;0;Independiente;495;1500;19;78,95;22/4/2012;22.44;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;3000;2000;1000;500;0
Masculino;Viudo;1/5/1945;G;18095004;0;Independiente;7992;2000;24;102,82;3/11/2021;20.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;3520;560;0
Masculino;Divorciado;30/10/1970;P;18096803;0;Independiente;9190;700;12;63,59;19/10/2022;19.97;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;32500;20548;600;297,71;0
Femenino;Casado;14/2/1977;P;18096804;0;--Seleccione Tipo Empleo--;5761;1500;20;101,87;2/9/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Soltero;15/12/1991;S;18096801;0;Independiente;1510;500;10;50;1/6/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;8000;0;649;241,8;0
